,date,modules,cnt
343,2020-11-04, UXUI-TEAM-VIS,3
344,2020-11-04, UXUI-UXI-DEVELOP,2
345,2020-11-04, UXUI-UXI-DISCOVER,1
346,2020-11-05, UXUI-FUN-UXD,1
347,2020-11-05, UXUI-ORIENTATION-FLEX,1
348,2020-11-05, UXUI-ORIENTATION-IMMERSION,1
349,2020-11-05, UXUI-PORTFOLIO-I-ASSESS,1
350,2020-11-05, UXUI-UXI-DEVELOP,1
351,2020-11-06, UXUI-FUN-UXD,1
352,2020-11-06, UXUI-SP-FE-III,1
353,2020-11-06, UXUI-TEAM-PRESENT,1
354,2020-11-06, UXUI-TEAM-VIS,1
355,2020-11-07, UXUI-PORTFOLIO-I,1
356,2020-11-07, UXUI-UXI-DEVELOP,1
357,2020-11-09, UXUI-FUN-UXD,1
358,2020-11-09, UXUI-SP-FE-II,1
359,2020-11-09, UXUI-UXI-DEFINE,1
360,2020-11-10, UXUI-TEAM-ASSESS-IMMERSION,2
361,2020-11-10, UXUI-TEAM-VIS,1
362,2020-11-10, UXUI-UXI-DEFINE,2
363,2020-11-10, refresh,1
364,2020-11-11, UXUI-UXI-DEFINE,1
365,2020-11-11, home and case study,1
366,2020-11-12, UXUI-SP-FE-II,2
367,2020-11-12, UXUI-UXI-DEFINE,2
368,2020-11-13, UXUI-CAP-DISC-AND-DEF,1
369,2020-11-13, UXUI-TEAM-PRESENT,3
370,2020-11-14, UXUI-FUN-DESIGN-AND-RESEARCH,1
371,2020-11-14, UXUI-TEAM-ASSESS-FLEX-DT,1
372,2020-11-15, UXUI-TEAM-DEFINE,1
373,2020-11-15, UXUI-UXI-DEFINE,1
374,2020-11-16, UXUI-PORTFOLIO-I,1
375,2020-11-16, UXUI-TEAM-DEFINE,1
376,2020-11-16, UXUI-UXI-DEFINE,1
377,2020-11-16, UXUI-UXI-DELIVER,1
378,2020-11-16, uxui-careers-personal-branding,1
379,2020-11-17, UXUI-PORTFOLIO-I,1
380,2020-11-17, UXUI-SP-VIS-I,1
381,2020-11-17, UXUI-SPEC-UR-III,1
382,2020-11-18, UXUI-FUN-VIS,1
383,2020-11-18, UXUI-PORTFOLIO-I-V2,1
384,2020-11-18, UXUI-SP-VIS-II,1
385,2020-11-18, UXUI-UXI-DEFINE,1
386,2020-11-18, UXUI-UXI-DISCOVER,2
387,2020-11-18, uxui-careers-personal-branding,1
388,2020-11-19, UXUI-PORTFOLIO-I-V2,2
389,2020-11-19, ux-start-today,1
390,2020-11-19, uxui-careers-personal-branding,3
391,2020-11-20, UXUI-SP-VIS-III,3
392,2020-11-20, UXUI-SUPPORT-NETWORK-IMMERSION,1
393,2020-11-20, UXUI-TEAM-VIS,1
394,2020-11-21, UXUI-UXI-DISCOVER,1
395,2020-11-22, UXUI-FUN-VIS,1
396,2020-11-22, UXUI-PORTFOLIO-I-V2,1
397,2020-11-22, UXUI-SPEC-UR-III,1
398,2020-11-23, UXUI-FUN-VIS,1
399,2020-11-23, UXUI-ORIENTATION-FLEX,1
400,2020-11-23, UXUI-PORTFOLIO-I-V2,1
401,2020-11-23, UXUI-SP-VIS-I,1
402,2020-11-23, UXUI-UXI-DEFINE,1
403,2020-11-24, UXUI-TEAM-VIS,1
404,2020-11-24, UXUI-UXI-DISCOVER,1
405,2020-11-25, UXUI-CAP-DISC-AND-DEF,1
406,2020-11-25, UXUI-FUN-UXD,1
407,2020-11-25, UXUI-PORTFOLIO-I-V2,1
408,2020-11-25, UXUI-UXI-DEFINE,1
409,2020-11-26, UXUI-FUN-UXD,2
410,2020-11-27, UXUI-PORTFOLIO-I-V2,3
411,2020-11-27, UXUI-TEAM-PRESENT,1
412,2020-11-27, UXUI-UXI-DELIVER,1
413,2020-11-28, UXUI-SP-VIS-I,2
414,2020-11-28, UXUI-UXI-DEVELOP,1
415,2020-11-28, UXUI-UXI-DISCOVER,1
416,2020-11-29, UXUI-FUN-UXD,1
417,2020-11-29, UXUI-TEAM-PRESENT,1
418,2020-11-29, UXUI-UXI-DISCOVER,1
419,2020-11-30, UXUI-FUN-DESIGN-AND-RESEARCH,1
420,2020-11-30, UXUI-SP-FE-II,3
421,2020-11-30, UXUI-SP-VIS-II,1
422,2020-11-30, UXUI-TEAM-DEFINE,1
423,2020-11-30, UXUI-UXI-DEVELOP,1
424,2020-12-01, UXUI-PORTFOLIO-I-ASSESS-V2,1
425,2020-12-01, UXUI-SP-FE-II,1
426,2020-12-01, UXUI-SP-VIS-III,1
427,2020-12-01, UXUI-SUPPORT-NETWORK-IMMERSION,1
428,2020-12-01, UXUI-UXI-DEFINE,1
429,2020-12-01, UXUI-UXI-DEVELOP,2
430,2020-12-01, prep course,1
431,2020-12-02, UXUI-SP-VIS-II,3
432,2020-12-02, UXUI-TEAM-PRESENT,1
433,2020-12-02, UXUI-UXI-DEFINE,4
434,2020-12-02, UXUI-UXI-DEVELOP,1
435,2020-12-02, uxui-careers-personal-branding,1
436,2020-12-03, UXUI-SP-FE-II,3
437,2020-12-04, UXUI-FUN-UXD,2
438,2020-12-04, UXUI-TEAM-PRESENT,1
439,2020-12-04, UXUI-UXI-DEFINE,1
440,2020-12-04, UXUI-UXI-DEVELOP,2
441,2020-12-04, uxui-careers-networking,1
442,2020-12-05, UXUI-FUN-DESIGN-AND-RESEARCH,1
443,2020-12-05, UXUI-FUN-UXD,3
444,2020-12-05, UXUI-TEAM-VIS,1
445,2020-12-05, UXUI-UXI-DEVELOP,2
446,2020-12-06, UXUI-UXI-DELIVER,4
447,2020-12-06, UXUI-UXI-DEVELOP,2
448,2020-12-07, UXUI-FUN-DESIGN-AND-RESEARCH,1
449,2020-12-07, UXUI-SP-VIS-III,1
450,2020-12-07, UXUI-TEAM-DEFINE,1
451,2020-12-07, UXUI-UXI-DEFINE,3
452,2020-12-07, UXUI-UXI-DISCOVER,1
453,2020-12-08, UXUI-FUN-VIS,1
454,2020-12-08, UXUI-PORTFOLIO-I-V2,1
455,2020-12-08, UXUI-TEAM-DEFINE,2
456,2020-12-08, UXUI-UXI-DEVELOP,2
457,2020-12-08, UXUI-UXI-DISCOVER,1
458,2020-12-09, UXUI-FUN-DESIGN-AND-RESEARCH,1
459,2020-12-09, UXUI-FUN-VIS,1
460,2020-12-09, UXUI-TEAM-PRESENT,1
461,2020-12-09, ux 150,1
462,2020-12-10, UXUI-FUN-UXD,1
463,2020-12-10, UXUI-SP-VIS-I,1
464,2020-12-10, UXUI-UXI-DEFINE,1
465,2020-12-10, UXUI-UXI-DEVELOP,1
466,2020-12-10, UXUI-UXI-DISCOVER,2
