date,modules,cnt
2019-12-07, DABC-CAPSTONE-2,1
2019-12-07, DABC-MARKETING-ECOMMERCE,3
2019-12-08, week 11,1
2019-12-10, DABC-PYTHON-1,2
2019-12-11, DABC-STATS-EXCEL,1
2019-12-12, DABC-PYTHON-2,1
2019-12-12, DABC-PYTHON-3,1
2019-12-13, DABC-TRIAL-ORIENT,1
2019-12-14, DABC-EXCEL-FOUNDATIONS-4,1
2019-12-14, DABC-TABLEAU-2,1
2019-12-17, DABC-RETAIL-SALES,1
2019-12-17, DABC-SQL-1,6
2019-12-17, DABC-SQL-3,1
2019-12-17, DABC-TRIAL-ORIENT,1
2019-12-19, DABC-PYTHON-2,1
2019-12-20, DABC-SQL-2,1
2019-12-23, DABC-SQL-3,1
2019-12-24, DABC-RETAIL-SALES,1
2019-12-27, DABC-SQL-2,1
2019-12-30, DABC-SQL-3,2
2019-12-31, DABC-ACE-CASE,1
2019-12-31, DABC-SQL-3,2
2020-01-02, DABC-SQL-EXAM,2
2020-01-05, DABC-ORIENTATION,1
2020-01-07, DABC-RETAIL-SALES,1
2020-01-07, DABC-SQL-3,3
2020-01-08, DABC-EXCEL-FOUNDATIONS-3,1
2020-01-09, DABC-CAREERS-PROFESSIONAL-BRANDING,1
2020-01-09, DABC-PYTHON-2,1
2020-01-09, DABC-TABLEAU-2,1
2020-01-10, DABC-PYTHON-2,1
2020-01-12, DABC-PYTHON-2,1
2020-01-12, DABC-PYTHON-3,1
2020-01-14, DABC-CAREERS-NETWORKING,1
2020-01-15, DABC-SQL-3,1
2020-01-16, DABC-SQL-2,1
2020-01-16, DABC-SQL-3,3
2020-01-17, DABC-SQL-1,1
2020-01-17, DABC-SQL-3,3
2020-01-17, DABC-STATS-EXCEL,1
2020-01-18, DABC-SQL-1,1
2020-01-20, DABC-EXCEL-FOUNDATIONS-1,1
2020-01-20, DABC-PYTHON-2,1
2020-01-20, DABC-SQL-3,2
2020-01-21, DABC-MARKETING-ECOMMERCE,1
2020-01-21, DABC-SQL-1,1
2020-01-21, DABC-SQL-3,1
2020-01-21, DAI]  User-submitted feedback ,1
2020-01-23, DABC-MARKETING-ECOMMERCE,1
2020-01-23, DABC-SQL-3,1
2020-01-24, DABC-MARKETING-ECOMMERCE,1
2020-01-25, DABC-SQL-3,2
2020-01-28, DABC-EXCEL-FOUNDATIONS-1,1
2020-01-28, DABC-RETAIL-SALES,1
2020-01-28, SQL III] User-submitted feedback ,1
2020-01-29, DABC-EXCEL-FOUNDATIONS-2,1
2020-01-29, DABC-EXCEL-FOUNDATIONS-4,1
2020-01-30, DABC-STATS-EXCEL,1
2020-01-31, DABC-SQL-3,3
2020-01-31, DABC-TABLEAU-1,1
2020-02-01, DABC-TRIAL-ORIENT,1
2020-02-02, DABC-RETAIL-SALES,1
2020-02-03, DABC-PYTHON-3,1
2020-02-03, DABC-TRIAL-ORIENT,2
2020-02-03, DABC-WAY,2
2020-02-05, DABC-RETAIL-SALES,1
2020-02-05, DABC-WAY,1
2020-02-07, DABC-CAREERS-PROFESSIONAL-BRANDING,1
2020-02-07, DABC-SQL-2,1
2020-02-07, DABC-STATS-EXCEL,1
2020-02-09, DABC-EXCEL-FOUNDATIONS-3,1
2020-02-09, DABC-SQL-1,1
2020-02-10, DABC-SQL-1,1
2020-02-10, DABC-STATS-EXCEL,1
2020-02-11, DABC-ACE-CASE,3
2020-02-11, DABC-CAREERS-JOBS,2
2020-02-11, DABC-RETAIL-SALES,1
2020-02-11, DABC-STATS-EXCEL,1
2020-02-12, DABC-RETAIL-SALES,3
2020-02-12, DABC-TABLEAU-1,1
2020-02-13, DABC-PYTHON-1,1
2020-02-13, DABC-RETAIL-SALES,2
2020-02-14, DABC-SQL-1,1
2020-02-14, DABC-TABLEAU-1,3
2020-02-14, SQL Foundations III checkpoints] User-submitted feedback ,1
2020-02-14, SQL Foundations III]  User-submitted feedback ,1
2020-02-15, DABC-RETAIL-SALES,2
2020-02-16, DABC-EXCEL-FOUNDATIONS-1,1
2020-02-16, DABC-MARKETING-ECOMMERCE,1
2020-02-16,matting' content] User-submitted feedback ,1
2020-02-18, DABC-PYTHON-2,3
2020-02-19, DABC-RETAIL-SALES,2
2020-02-20, DABC-SUPPORT,1
2020-02-21, DABC-ACE-CASE,1
2020-02-21, DABC-ORIENTATION,1
2020-02-21, DABC-SQL-3,2
2020-02-24, DABC-MARKETING-ECOMMERCE,1
