,date,modules,cnt
212,2019-09-19, DSBC-PYTHON-3,1
213,2019-09-19, DSBC-PYTHON-SELF-SUFF,1
214,2019-09-19, DSBC-SQL-1,1
215,2019-09-20, DSBC-SQL-FOUNDATIONS-2,1
216,2019-09-21, DSBC-BIG-DATA,1
217,2019-09-21, DSBC-CAPSTONE-UNSUPER-LEARN,1
218,2019-09-21, DSBC-WAY-OF-DATA-SCIENTIST,1
219,2019-09-21, DSF-ORIENTATION,1
220,2019-09-21, DSF-SUPPORT,1
221,2019-09-22, DSBC-MODEL-PREP,1
222,2019-09-22, DSBC-PYTHON-SELF-SUFF,1
223,2019-09-22, dataset ,1
224,2019-09-23, DSBC-PYTHON-SELF-SUFF,1
225,2019-09-23, DSBC-SQL-FOUNDATIONS-2,1
226,2019-09-24, DSBC-MODEL-PREP,1
227,2019-09-24, DSBC-RANDOM-FOREST,1
228,2019-09-24, DSBC-SQL-FOUNDATIONS-3,1
229,2019-09-26, DSBC-ALGORITHMS-DATA-STRUCTURES,1
230,2019-09-26, DSBC-PYTHON-1,2
231,2019-09-26, DSBC-SQL-FOUNDATIONS-3,1
232,2019-09-26, DSF-ORIENTATION,2
233,2019-09-29, DSBC-ADVANCED-EXPERIMENTATION,1
234,2019-09-29, DSBC-REGRESSION-PROBLEMS,1
235,2019-09-30, DS-GIT,1
236,2019-09-30, DSBC-JOB-LANDSCAPE,1
237,2019-09-30, DSBC-PYTHON-1,1
238,2019-09-30, DSBC-PYTHON-3,1
239,2019-09-30, DSBC-STATS-1,1
240,2019-09-30, DSF-ORIENTATION,1
241,2019-10-01, DSBC-PROFESSIONAL-BRANDING,1
242,2019-10-01, DSBC-WAY-OF-DATA-SCIENTIST,3
243,2019-10-02, DSBC-MODEL-PREP,1
244,2019-10-02, DSBC-PYTHON-1,1
245,2019-10-03, DSBC-ADVANCED-EXPERIMENTATION,1
246,2019-10-03, DSBC-EXP-DES-V2,1
247,2019-10-03, DSBC-MODEL-PREP,1
248,2019-10-03, DSBC-PYTHON-3,1
249,2019-10-03, DSBC-SQL-FOUNDATIONS-1,1
250,2019-10-04, DSBC-ADVANCED-EXPERIMENTATION,1
251,2019-10-04, DSBC-BIOSTATS,1
252,2019-10-04, DSBC-EXP-DES-V2,1
253,2019-10-04, DSBC-STATS-1,1
254,2019-10-05, DSBC-DATA-VIS-1,1
255,2019-10-05, DSBC-REGRESSION-PROBLEMS,1
256,2019-10-06, DSBC-EXP-DES-V2,1
257,2019-10-06, DSF-ORIENTATION,1
258,2019-10-06,mula ,1
259,2019-10-07, DSBC-1-CAPSTONE-EXP-DES,1
260,2019-10-08, DSBC-CAPSTONE-SUPERVISED-LEARNING,1
261,2019-10-08, DSBC-FIRST-STEPS,1
262,2019-10-08, DSBC-ORIENTATION-DSI,1
263,2019-10-08, DSBC-SIMILARITY-MODELS,1
264,2019-10-08, time in course 117 DSI,1
265,2019-10-09, DSBC-BIG-DATA-SPARK,1
266,2019-10-09, DSBC-PYTHON-1,1
267,2019-10-09, DSBC-SQL-FOUNDATIONS-2,1
268,2019-10-10, DSBC-PYTHON-1,1
269,2019-10-10, DSBC-REGRESSION-PROBLEMS,1
270,2019-10-10, DSF-ORIENTATION,1
271,2019-10-11, DSBC-1-CAPSTONE-EXP-DES,1
272,2019-10-11, DSBC-PYTHON-1,1
273,2019-10-11, DSBC-WAY-OF-DATA-SCIENTIST,1
274,2019-10-11, DSF-ORIENTATION,1
275,2019-10-12, DSBC-BIG-DATA-SPARK,1
276,2019-10-12, DSBC-PYTHON-1,2
277,2019-10-12, DSBC-ROLE,1
278,2019-10-14, DSBC-PYTHON-1,2
279,2019-10-14, DSBC-PYTHON-2,1
280,2019-10-15, DSBC-PYTHON-1,3
281,2019-10-15, DSBC-PYTHON-2,1
282,2019-10-15, DSBC-SQL-FOUNDATIONS-3,1
283,2019-10-16, DSBC-DATA-VIS-1,1
284,2019-10-16, DSBC-PYTHON-1,1
285,2019-10-17, DSBC-EXP-DES-V2,1
286,2019-10-17, DSBC-PYTHON-1,1
287,2019-10-17, DSBC-PYTHON-2,2
288,2019-10-17, DSBC-REGRESSION-PROBLEMS,1
289,2019-10-17, DSBC-SQL-EXAM,1
290,2019-10-17, DSBC-SQL-FOUNDATIONS-3,1
291,2019-10-18, DSBC-PYTHON-2,8
292,2019-10-18, DSBC-REGRESSION-PROBLEMS,1
293,2019-10-18, DSBC-STATS-1,1
294,2019-10-19, DSBC-PYTHON-2,1
295,2019-10-19, DSBC-PYTHON-3,9
296,2019-10-20, DSBC-MODEL-PREP,1
297,2019-10-21, DSBC-MODEL-PREP,1
298,2019-10-21, DSBC-NLP,1
299,2019-10-21, DSBC-PYTHON-3,7
300,2019-10-22, DS-PHONE-SCREEN,2
301,2019-10-22, DSBC-NLP,1
302,2019-10-22, DSBC-PYTHON-4,1
303,2019-10-22, DSBC-SQL-FOUNDATIONS-1,1
304,2019-10-22, DSBC-SQL-FOUNDATIONS-3,1
305,2019-10-23, DSBC-STATS-1,1
306,2019-10-24, DSBC-PYTHON-1,1
307,2019-10-24,matting ,1
308,2019-10-25, DSBC-MODEL-PREP,1
309,2019-10-25, DSBC-PYTHON-1,1
310,2019-10-25, DSBC-RANDOM-FOREST,1
311,2019-10-25, final capstone,1
312,2019-10-26, DSBC-MODEL-PREP,1
313,2019-10-26, DSBC-NETWORKING,1
314,2019-10-26, DSBC-PYTHON-3,1
315,2019-10-27, DSBC-PYTHON-1,2
316,2019-10-27, DSBC-SQL-FOUNDATIONS-3,1
317,2019-10-27,bidden ,1
318,2019-10-28, DSBC-SQL-FOUNDATIONS-3,1
319,2019-10-29, DSBC-MODEL-PREP,2
320,2019-10-29, DSBC-PYTHON-2,1
321,2019-10-30, DSBC-CLASSIFICATIONS,1
322,2019-10-30, DSBC-CLUSTER,1
323,2019-10-30, DSBC-MODEL-PREP,1
324,2019-10-31, DSBC-CLASSIFICATIONS,4
325,2019-10-31, DSBC-CLUSTER,3
326,2019-10-31, DSBC-FINAL-CAPSTONE-V2,1
327,2019-10-31, DSBC-MODEL-PREP,1
328,2019-10-31, DSBC-NEURAL-NETWORKS,1
329,2019-11-01, DSBC-BIG-DATA-SPARK,2
330,2019-11-01, DSBC-PYTHON-2,2
331,2019-11-02, DSBC-FUNDAMENTALS,1
332,2019-11-02, DSBC-PYTHON-1,1
333,2019-11-03, DSBC-PYTHON-3,1
334,2019-11-03, DSBC-STATS-1,1
335,2019-11-04, DSBC-NLP,1
336,2019-11-04, DSNW,1
337,2019-11-05, DSBC-BIG-DATA-SPARK,1
338,2019-11-05, DSBC-NLP,2
339,2019-11-05, DSBC-SQL-FOUNDATIONS-2,1
340,2019-11-11, DSBC-SQL-FOUNDATIONS-1,1
341,2019-11-12, DSBC-BOOSTING-MODELS,1
342,2019-11-12, DSBC-CLASSIFICATIONS,1
343,2019-11-12, DSBC-CLUSTERING,1
344,2019-11-12, DSBC-PYTHON-1,1
345,2019-11-12, DSBC-PYTHON-3,1
346,2019-11-12, DSBC-PYTHON-SELF-SUFF,1
347,2019-11-12, DSBC-SQL-EXAM,1
348,2019-11-13, DSBC-CLASSIFICATIONS,1
349,2019-11-13, DSBC-PYTHON-1,1
350,2019-11-14, DSBC-PYTHON-2,1
351,2019-11-14, DSBC-PYTHON-3,1
352,2019-11-14, DSF-ORIENTATION,1
353,2019-11-15, DSBC-DATA-VIS-1,1
354,2019-11-16, DSBC-EXP-DES-V2,2
355,2019-11-16, DSBC-REGRESSION-PROBLEMS,1
356,2019-11-17, DSBC-PYTHON-2,1
357,2019-11-17, DSBC-SQL-FOUNDATIONS-2,1
358,2019-11-17, DSBC-SURVEY-DESIGN,1
359,2019-11-18, DSBC-EXP-DES-V2,1
360,2019-11-18, DSBC-PYTHON-2,2
361,2019-11-18, DSBC-PYTHON-3,1
362,2019-11-19, DSBC-CLASSIFICATIONS,1
363,2019-11-19, grading ,1
364,2019-11-20, DS ,2
365,2019-11-20, DSBC-PYTHON-1,1
366,2019-11-20,_data_scientists_3.yaml,1
367,2019-11-21, DSBC-DATA-VIS-1,1
368,2019-11-21, DSBC-ECONOMICS,1
369,2019-11-21, DSBC-MODEL-PREP,2
370,2019-11-22, DSBC-EXP-DES-V2,1
371,2019-11-22, DSBC-NLP,1
372,2019-11-22, DSBC-SQL-1,2
373,2019-11-23, DSBC-SQL-FOUNDATIONS-3,7
374,2019-11-23,ward ,1
375,2019-11-24, DSBC-EXP-DES-V2,3
376,2019-11-24, DSBC-PYTHON-3,1
377,2019-11-24,matting ,1
378,2019-11-25, DS-PHONE-SCREEN,1
379,2019-11-25, DSBC-BIG-DATA,1
380,2019-11-25, DSBC-BOOSTING-MODELS,1
381,2019-11-25, DSBC-NEURAL-NETWORKS,1
382,2019-11-25, DSBC-SQL-FOUNDATIONS-2,1
383,2019-11-26, DSBC-BIG-DATA,1
384,2019-11-26, DSBC-EXP-DES-V2,1
385,2019-11-26, DSBC-PYTHON-1,1
386,2019-11-28, DSBC-EXP-DES-V2,1
387,2019-11-28, DSBC-PROFESSIONAL-BRANDING,1
388,2019-11-28, DSBC-PYTHON-4,1
389,2019-11-29, DSBC-ALGORITHMS-DATA-STRUCTURES,1
390,2019-11-29, DSBC-PYTHON-2,1
391,2019-11-30, DSBC-CLASSIFICATION-PROBLEMS,1
392,2019-11-30, DSBC-EXP-DES-V2,5
393,2019-11-30, DSBC-PROFESSIONAL-BRANDING,1
394,2019-11-30, DSBC-PYTHON-4,4
395,2019-11-30, DSBC-SQL-FOUNDATIONS-2,1
396,2019-12-01, DSBC-PYTHON-SELF-SUFF,1
397,2019-12-01, DSBC-SQL-EXAM,1
398,2019-12-02, DSBC-NEURAL-NETWORKS,2
399,2019-12-03, DSBC-CLUSTER,1
400,2019-12-03, DSBC-EXP-DES-V2,1
401,2019-12-04, DSBC-BIG-DATA,3
402,2019-12-04, DSBC-DATA-VIS-1,1
403,2019-12-04, DSBC-EXP-DES-V2,2
404,2019-12-04, DSBC-NEURAL-NETWORKS,1
